country_code,country,strategy,period,status,statistically_insufficient,start,end,months,turnover_annualized_std,turnover_annualized_energy,turnover_annualized_delta,turnover_12m_std,turnover_12m_energy,contribution_energy_nominal_pts,active_months,activation_rate,active_phases,mean_run_months,median_run_months,max_run_months,last_activation,last_deactivation,signal_availability
HK,Hong Kong,dynamic,common,ok,false,1995-01,2026-06,378,0.242278,0.406795,0.164517,0.168635,0.374755,45.533302,228,0.603175,33,6.909091,5,21,2026-01,2026-06,0.986772
HK,Hong Kong,dynamic,20y,ok,false,2006-06,2026-06,241,0.25824,0.44038,0.18214,0.168635,0.374755,16.433247,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
HK,Hong Kong,dynamic,10y,ok,false,2016-06,2026-06,121,0.233367,0.432786,0.19942,0.168635,0.374755,10.353744,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
HK,Hong Kong,dynamic,5y,ok,false,2021-06,2026-06,61,0.141946,0.348274,0.206328,0.168635,0.374755,5.606294,35,0.57377,7,5,5,8,2026-01,2026-06,1
HK,Hong Kong,binary,common,ok,false,1995-01,2026-06,378,0.597634,0.748652,0.151018,1.069623,1.188833,48.942814,228,0.603175,33,6.909091,5,21,2026-01,2026-06,0.986772
HK,Hong Kong,binary,20y,ok,false,2006-06,2026-06,241,0.693721,0.856885,0.163164,1.069623,1.188833,17.515745,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
HK,Hong Kong,binary,10y,ok,false,2016-06,2026-06,121,0.531829,0.728733,0.196903,1.069623,1.188833,11.431577,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
HK,Hong Kong,binary,5y,ok,false,2021-06,2026-06,61,0.274105,0.489603,0.215498,1.069623,1.188833,6.386386,35,0.57377,7,5,5,8,2026-01,2026-06,1
ID,Indonésie,dynamic,common,ok,false,2013-01,2026-06,162,0.519129,0.674679,0.15555,0.360144,0.514066,15.233207,85,0.524691,18,4.722222,4,14,2026-01,2026-06,1
ID,Indonésie,dynamic,20y,insufficient_history,true,2013-01,2026-06,162,,,,,,,,,,,,,,,
ID,Indonésie,dynamic,10y,ok,false,2016-06,2026-06,121,0.516077,0.641427,0.12535,0.360144,0.514066,13.979615,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
ID,Indonésie,dynamic,5y,ok,false,2021-06,2026-06,61,0.348371,0.481006,0.132635,0.360144,0.514066,7.573269,35,0.57377,7,5,5,8,2026-01,2026-06,1
ID,Indonésie,binary,common,ok,false,2013-01,2026-06,162,1.249535,1.403514,0.15398,0.522657,0.78838,16.279418,85,0.524691,18,4.722222,4,14,2026-01,2026-06,1
ID,Indonésie,binary,20y,insufficient_history,true,2013-01,2026-06,162,,,,,,,,,,,,,,,
ID,Indonésie,binary,10y,ok,false,2016-06,2026-06,121,0.953339,1.124001,0.170662,0.522657,0.78838,14.980174,69,0.570248,13,5.307692,4,14,2026-01,2026-06,1
ID,Indonésie,binary,5y,ok,false,2021-06,2026-06,61,0.950661,1.127387,0.176726,0.522657,0.78838,8.465273,35,0.57377,7,5,5,8,2026-01,2026-06,1
IN,Inde,dynamic,common,ok,false,2005-05,2026-06,254,0.360019,0.516041,0.156021,0.622645,0.65743,25.914949,145,0.570866,26,5.576923,5,18,2026-01,2026-06,1
IN,Inde,dynamic,20y,ok,false,2006-06,2026-06,241,0.36036,0.510958,0.150598,0.622645,0.65743,21.735625,134,0.556017,24,5.583333,4.5,18,2026-01,2026-06,1
